staff_id,assignment_number,departure_date,return_date,assignment_country,pool,job_title,age_bracket,sex,first_departure
3,1,2005-02-21,2006-03-05,KP,NON MEDICAL,CHEF DE MISSION,55,M,Not first departure
3,2,2008-10-02,2008-11-02,NG,NON MEDICAL,CHEF DE MISSION,55,M,Not first departure
21,1,2004-08-13,2004-08-31,CI,NA,ANESTH,55,F,Not first departure
29,1,2006-08-14,2006-08-31,LR,NA,INF ANESTH,45,F,First departure
32,1,2001-02-18,2001-03-10,CD,NA,NA,55,F,First departure
41,1,1996-02-22,1996-04-04,MR,NON MEDICAL,NA,45,F,Not first departure
41,2,1996-04-26,1996-06-10,MG,PROJECT COORDINATOR,NA,45,F,Not first departure
41,3,1997-08-15,1997-09-15,IN,NA,NA,45,F,Not first departure
45,1,2003-12-28,2005-06-28,TH,NON MEDICAL,CHEF DE MISSION,55,M,First departure
45,2,2007-03-01,2007-12-31,SD,MEDCO,COORDINATEUR MED,65,M,Not first departure
45,3,2008-01-01,2008-07-31,SD,NON MEDICAL,CHEF DE MISSION,65,M,Not first departure
49,1,2003-03-18,2004-01-21,TH,NON MEDICAL,CHEF DE MISSION,55,M,Not first departure
57,1,1997-04-20,1997-04-24,RU,NA,NA,45,F,Not first departure
59,1,1996-12-09,1999-08-31,YE,NON MEDICAL,NA,35,M,Not first departure
59,2,1999-11-01,1999-11-08,YE,NON MEDICAL,NA,45,M,Not first departure
59,3,2000-04-08,2003-06-30,PH,PROJECT COORDINATOR,NA,45,M,Not first departure
59,4,2003-08-30,2004-01-31,ID,PROJECT COORDINATOR,RESPONSBLE EDUCATEUR,45,M,Not first departure
59,5,2004-02-01,2004-10-17,ID,NON MEDICAL,CHEF DE MISSION,45,M,Not first departure
75,1,1997-05-15,1997-06-09,IR,NA,NA,45,M,Not first departure
75,2,1998-06-29,1998-07-21,UD,NA,NA,45,M,Not first departure
85,1,2011-08-11,2011-09-01,LY,GAS,ORTHO,65,M,First departure
87,1,1999-03-02,1999-03-30,SD,NA,NA,45,F,Not first departure
97,1,1997-10-01,1999-07-25,KE,NON MEDICAL,A REFACTURER,55,M,Not first departure
97,2,2002-07-01,2005-06-30,BG,NON MEDICAL,NA,55,M,Not first departure
112,1,2014-11-28,2015-01-24,ML,NA,NA,65,M,First departure
112,2,2016-05-26,2016-06-15,CD,OTHER,EPIDEMIOLOGISTE,65,M,Not first departure
124,1,1996-01-30,1996-02-25,LK,NA,NA,65,M,Not first departure
147,1,2001-02-01,2001-03-07,AO,NON MEDICAL,A REFACTURER,45,M,Not first departure
154,1,1999-04-05,1999-04-29,YU,NA,NA,45,M,First departure
154,2,1999-10-20,1999-11-19,CD,NON MEDICAL,NA,45,M,Not first departure
160,1,1996-07-16,1996-07-29,BI,NA,NA,55,M,Not first departure
168,1,1998-10-15,1999-01-19,SL,NA,NA,55,M,First departure
168,2,1999-06-15,1999-07-07,BI,NA,NA,55,M,Not first departure
169,1,2000-01-21,2000-04-30,TJ,NA,NA,55,F,Not first departure
169,2,2001-05-10,2001-06-10,BI,NA,NA,55,F,Not first departure
169,3,2004-01-09,2004-01-27,BI,NA,NA,65,F,Not first departure
169,4,2004-04-22,2004-06-18,BI,NA,LABO,65,F,Not first departure
175,1,2015-05-05,2015-06-01,NE,NURSE,NA,55,F,Not first departure
175,2,2015-11-01,2015-11-05,SI,NURSE,NA,55,F,Not first departure
175,3,2016-03-07,2016-05-04,MZ,NURSE,NA,55,F,Not first departure
175,4,2016-11-14,2017-04-14,IQ,NURSE,NA,55,F,Not first departure
175,5,2017-07-23,2017-10-02,IT,NURSE,NA,55,F,Not first departure
179,1,2001-01-04,2001-02-10,SL,NA,NA,55,M,Not first departure
180,1,2003-10-01,2003-12-15,CG,GAS,CHIRURGIEN,55,M,Not first departure
180,2,2004-10-14,2004-11-20,CG,GAS,CHIRURGIEN 3,65,M,Not first departure
180,3,2006-02-03,2006-03-07,ID,GAS,CHIR ORTHO,65,M,Not first departure
180,4,2013-08-14,2013-09-13,CF,GAS,CHIRURGIE,65,M,Not first departure
180,5,2014-08-18,2014-09-25,HT,GAS,CHIR ORTHO 1,65,M,Not first departure
180,6,2016-01-15,2016-02-17,CF,GAS,CHIRURGIEN URGENCE DECEMBRE,65,M,Not first departure
180,7,2018-02-06,2018-03-19,CF,GAS,CHIR ORTHO,65,M,Not first departure
180,8,2019-04-20,2019-05-27,CF,MD,CHIR ORTHO,65,M,Not first departure
181,1,2008-05-25,2008-06-14,NG,GAS,CHIR ORTHO,65,M,First departure
181,2,2011-04-10,2011-05-06,HT,GAS,CHIR ORTHO 1,65,M,Not first departure
181,3,2011-10-05,2011-10-28,HT,GAS,CHIR ORTHO 1,65,M,Not first departure
181,4,2012-05-07,2012-05-25,HT,GAS,CHIR ORTHO 1,65,M,Not first departure
193,1,1998-10-22,1999-06-22,KH,NA,NA,45,F,Not first departure
204,1,2007-02-07,2007-02-16,TD,NA,ANESTH SUPP 07 FEV,55,F,First departure
206,1,2002-08-05,2002-08-21,AO,NA,INF NUT,55,F,Not first departure
220,1,2017-01-03,2017-02-02,IQ,NURSE,ER NURSE TRAINING,65,M,Not first departure
220,2,2018-11-11,2019-02-19,AF,NURSE,ER NURSE,65,M,Not first departure
224,1,2002-05-01,2005-03-31,BG,MEDCO,NA,45,F,Not first departure
255,1,2017-07-08,2018-04-05,PK,MEDCO,NA,65,F,Not first departure
262,1,1996-07-01,1997-10-13,IR,NON MEDICAL,NA,35,M,Not first departure
275,1,1996-10-07,1997-01-10,CI,NA,NA,45,F,Not first departure
278,1,1997-01-08,1997-05-04,LB,PROJECT COORDINATOR,NA,35,F,Not first departure
278,2,1997-06-11,1998-01-29,LK,PROJECT COORDINATOR,NA,45,F,Not first departure
278,3,1998-06-29,1999-02-04,BD,NON MEDICAL,NA,45,F,Not first departure
278,4,1999-05-10,2000-11-16,CN,PROJECT COORDINATOR,NA,45,F,Not first departure
278,5,2002-07-25,2004-05-15,MM,NON MEDICAL,CHEF DE MISSION,45,F,Not first departure
279,1,1997-09-21,1997-11-19,TH,NA,NA,45,F,Not first departure
279,2,1998-01-27,1998-03-24,KE,NA,NA,45,F,Not first departure
285,1,2001-06-09,2001-12-09,CD,NA,NA,45,F,Not first departure
297,1,1996-09-01,2000-01-20,CN,NA,NA,55,F,Not first departure
297,2,2000-04-14,2000-07-25,LK,PROJECT COORDINATOR,NA,55,F,Not first departure
297,3,2000-08-25,2000-12-23,LK,PROJECT COORDINATOR,NA,55,F,Not first departure
297,4,2001-01-17,2001-04-01,LK,PROJECT COORDINATOR,NA,55,F,Not first departure
297,5,2001-04-02,2001-09-23,LK,PROJECT COORDINATOR,NA,55,F,Not first departure
297,6,2003-07-07,2003-09-02,NP,MEDCO,COMED,65,F,Not first departure
301,1,2011-04-08,2011-04-21,CI,MD,ABOBO-SUD MED URG,65,M,Not first departure
304,1,1997-03-28,1997-06-30,LK,NA,NA,65,M,Not first departure
304,2,1997-08-10,1997-10-02,LK,NA,NA,65,M,Not first departure
304,3,1998-10-03,1998-10-27,BI,NA,NA,65,M,Not first departure
304,4,2003-05-15,2003-07-02,GE,NA,CHIR CITY HOSPITAL,65,M,Not first departure
304,5,2003-09-09,2003-10-11,BI,NA,CHIR,65,M,Not first departure
304,6,2004-03-01,2004-04-14,LR,NA,CHIR,65,M,Not first departure
306,1,1998-01-07,1998-10-01,ME,NA,NA,45,M,Not first departure
314,1,1997-07-25,1999-06-26,KE,MEDCO,NA,35,M,Not first departure
314,2,1999-07-01,2002-01-28,UG,PROJECT COORDINATOR,NA,45,M,Not first departure
315,1,1999-05-17,1999-07-15,ME,NA,NA,45,M,Not first departure
323,1,1997-08-01,1997-09-01,ME,NA,NA,35,M,First departure
346,1,1999-09-09,1999-10-09,KE,NA,NA,45,F,Not first departure
360,1,1999-11-06,1999-11-28,YU,NA,NA,55,M,Not first departure
368,1,2009-11-11,2009-11-28,CF,MD,MED REF HOSTO,55,M,Not first departure
368,2,2010-02-06,2010-02-28,HT,MTL,DIR MED HOSTO,55,M,Not first departure
368,3,2011-08-27,2011-09-05,LY,PROJECT COORDINATOR,MED,55,M,Not first departure
368,4,2012-05-01,2012-05-29,CD,NON MEDICAL,CDM,55,M,Not first departure
368,5,2013-06-10,2013-07-15,SY,MEDCO,COORDO MEDICAL,55,M,Not first departure
368,6,2014-07-04,2014-08-31,CF,PROJECT COORDINATOR,RT PAOUA,55,M,Not first departure
368,7,2014-09-23,2014-11-23,LR,PROJECT COORDINATOR,COORDO PROJET,55,M,Not first departure
368,8,2016-01-06,2016-03-31,FR1,NON MEDICAL,CHEF DE MISSION,65,M,Not first departure
368,9,2016-05-16,2016-08-16,LY,MEDCO,COORDINATEUR MED,65,M,Not first departure
368,10,2016-11-05,2016-12-16,SS,NON MEDICAL,CHEF DE MISSION,65,M,Not first departure
399,1,2006-12-18,2007-01-14,CD,NA,CHIR,65,M,Not first departure
407,1,1996-05-21,1996-07-24,AO,NA,NA,45,M,Not first departure
409,1,1998-04-11,1998-11-01,GN,NON MEDICAL,NA,45,M,Not first departure
409,2,1999-04-08,2000-09-04,TD,NON MEDICAL,A REFACTURER,45,M,Not first departure
409,3,2000-09-21,2001-12-17,HT,NON MEDICAL,NA,45,M,Not first departure
409,4,2014-01-01,2015-12-31,CI,NON MEDICAL,NA,55,M,Not first departure
482,1,2007-02-04,2007-03-06,CD,MD,NA,65,F,Not first departure
482,2,2010-01-04,2010-03-26,CG,MD,MED 2,65,F,Not first departure
482,3,2011-01-03,2011-02-23,HT,MD,NA,65,F,Not first departure
482,4,2011-07-13,2011-09-01,CI,MD,MED,65,F,Not first departure
482,5,2012-06-10,2012-07-20,HT,MD,NA,65,F,Not first departure
482,6,2012-12-02,2013-01-20,CD,MD,NA,65,F,Not first departure
482,7,2014-09-03,2014-11-03,TD,MD,NA,65,F,Not first departure
482,8,2015-09-07,2015-11-06,CD,MD,NA,65,F,Not first departure
542,1,1997-11-15,1999-07-16,YE,PROJECT COORDINATOR,NA,45,F,Not first departure
582,1,2008-04-28,2008-06-04,LK,MD,GYN-OBS,65,M,Not first departure
596,1,2007-03-27,2007-04-27,LK,NA,CHARGE DE COM,35,M,First departure
621,1,1999-09-02,1999-09-20,YU,NA,NA,65,M,Not first departure
856,1,1998-11-23,1998-12-29,KE,PROJECT COORDINATOR,NA,45,M,Not first departure
856,2,2000-04-27,2000-06-05,UG,NA,NA,45,M,Not first departure
1183,1,1996-01-18,1996-03-08,CI,NA,NA,35,F,First departure
